Schlüsselnummer;Kreis/Landkreis;Insgesamt;Männlich;Weiblich
8117;Göppingen;252 749;125 606;127 143
8118;Ludwigsburg;534 074;264 678;269 396
8119;Rems-Murr-Kreis;419 456;207 145;212 311
8121;Heilbronn, Stadtkreis;122 567;61 268;61 299
8125;Heilbronn;334 388;167 488;166 900
8126;Hohenlohekreis;110 181;55 569;54 612
8127;Schwäbisch Hall;191 614;96 187;95 427
8128;Main-Tauber-Kreis;132 181;65 891;66 290
8135;Heidenheim;130 527;64 896;65 631
8136;Ostalbkreis;312 650;155 797;156 853
8211;Baden-Baden, Stadtkreis;54 160;25 769;28 391
8212;Karlsruhe, Stadtkreis;307 755;156 686;151 069
8215;Karlsruhe;435 841;216 383;219 458
8216;Rastatt;227 474;112 509;114 965
8221;Heidelberg, Stadtkreis;156 267;74 954;81 313
8222;Mannheim, Stadtkreis;305 780;152 868;152 912
8225;Neckar-Odenwald-Kreis;142 936;71 596;71 340
8226;Rhein-Neckar-Kreis;541 859;266 128;275 731
8231;Pforzheim, Stadtkreis;122 247;59 901;62 346
8235;Calw;155 359;77 683;77 676
8236;Enzkreis;196 066;97 100;98 966
8237;Freudenstadt;116 233;57 866;58 367
8311;Freiburg im Breisgau, Stadtkreis;226 393;107 913;118 480
8315;Breisgau-Hochschwarzwald;257 343;126 585;130 758
8316;Emmendingen;162 082;79 920;82 162
8317;Ortenaukreis;420 106;208 393;211 713
8325;Rottweil;137 500;68 504;68 996
8326;Schwarzwald-Baar-Kreis;209 648;103 904;105 744
8327;Tuttlingen;136 606;68 387;68 219
8335;Konstanz;280 288;136 421;143 867
8336;Lörrach;226 708;110 935;115 773
8337;Waldshut;167 861;83 106;84 755
8415;Reutlingen;282 113;139 634;142 479
8416;Tübingen;221 837;108 268;113 569
8417;Zollernalbkreis;188 595;93 608;94 987
8421;Ulm, Stadtkreis;122 636;60 400;62 236
8425;Alb-Donau-Kreis;192 104;96 733;95 371
8426;Biberach;194 019;97 540;96 479
8435;Bodenseekreis;212 201;104 569;107 632
8436;Ravensburg;279 296;138 713;140 583
8437;Sigmaringen;130 772;65 635;65 137
9161;Ingolstadt;132 438;66 825;65 613
9162;München, Landeshauptstadt;1 450 381;707 150;743 231
9163;Rosenheim;61 844;30 273;31 571
9171;Altötting;108 485;53 369;55 116
9172;Berchtesgadener Land;103 907;50 897;53 010
9173;Bad Tölz-Wolfratshausen;124 930;61 462;63 468
9174;Dachau;149 370;74 745;74 625
9175;Ebersberg;137 421;68 564;68 857
9176;Eichstätt;128 805;65 284;63 521
9177;Erding;133 747;67 321;66 426
9178;Freising;173 225;88 149;85 076
9179;Fürstenfeldbruck;213 481;104 273;109 208
9180;Garmisch-Partenkirchen;87 385;42 370;45 015
9181;Landsberg am Lech;117 657;58 888;58 769
9182;Miesbach;98 286;48 065;50 221
9183;Mühldorf a.Inn;112 034;56 499;55 535
9184;München;340 003;168 380;171 623
9185;Neuburg-Schrobenhausen;94 654;47 580;47 074
9186;Pfaffenhofen a.d.Ilm;124 128;63 325;60 803
9187;Rosenheim;256 074;126 896;129 178
9188;Starnberg;133 621;64 772;68 849
9189;Traunstein;174 162;85 999;88 163
9190;Weilheim-Schongau;132 906;65 974;66 932
9261;Landshut;69 211;33 513;35 698
9262;Passau;50 566;23 945;26 621
9263;Straubing;46 806;23 519;23 287
9271;Deggendorf;116 596;57 851;58 745
9272;Freyung-Grafenau;78 122;38 921;39 201
9273;Kelheim;118 965;60 306;58 659
9274;Landshut;154 577;78 468;76 109
9275;Passau;188 336;93 347;94 989
9276;Regen;76 812;38 402;38 410
9277;Rottal-Inn;119 218;59 402;59 816
9278;Straubing-Bogen;98 806;49 683;49 123
9279;Dingolfing-Landau;94 104;48 369;45 735
9361;Amberg;41 861;20 571;21 290
9362;Regensburg;145 465;69 969;75 496
9363;Weiden i.d.OPf.;42 055;20 052;22 003
9371;Amberg-Sulzbach;103 568;51 767;51 801
9372;Cham;126 359;63 117;63 242
9373;Neumarkt i.d.OPf.;130 385;65 671;64 714
9374;Neustadt a.d.Waldnaab;95 078;47 226;47 852
9375;Regensburg;189 390;94 531;94 859
9376;Schwandorf;144 864;72 784;72 080
9377;Tirschenreuth;73 314;36 426;36 888
9461;Bamberg;73 331;34 767;38 564
9462;Bayreuth;72 148;34 850;37 298
9463;Coburg;41 257;20 004;21 253
9464;Hof;44 660;21 342;23 318
9471;Bamberg;145 570;72 906;72 664
9472;Bayreuth;104 306;51 516;52 790
9473;Coburg;86 599;42 781;43 818
